model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-02,V1,V1,train,sub-08,linear_predictivity,435,560,0.10178980543336495,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.18426816021364328,1.0473308746450907,0.8155257415598427,0.8946594529755579
sub-02,V1,V1,test,sub-08,linear_predictivity,435,560,0.18562671941412953,"[0.1814014333003054, 0.18543340815490075, 0.18478615628522033, 0.1905755501860709, 0.18593704914415038]",,,,,
sub-02,V1,V2,train,sub-08,linear_predictivity,435,482,0.1315563738457199,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.21158017596859874,1.0200698922404585,0.788213806681447,0.8649875477218547
sub-02,V1,V2,test,sub-08,linear_predictivity,435,482,0.2546768399718602,"[0.25177802909603014, 0.2550761835713163, 0.2571296135068227, 0.2573745239045671, 0.25202584978056475]",,,,,
sub-02,V1,V3,train,sub-08,linear_predictivity,435,458,0.08514117183669555,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.17002540672865027,1.051263615051942,0.8297947239197644,0.9117214064026044
sub-02,V1,V3,test,sub-08,linear_predictivity,435,458,0.19881077909013833,"[0.19912318482827454, 0.19529803033431795, 0.19902154523804333, 0.20282512499864752, 0.19778601005140845]",,,,,
sub-02,V1,V4,train,sub-08,linear_predictivity,435,604,0.06162141261800506,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14863640612930368,1.0672847802117977,0.8511942797234233,0.9354489684125842
sub-02,V1,V4,test,sub-08,linear_predictivity,435,604,0.12746348596297485,"[0.13087727986283026, 0.11914955528960967, 0.12730096116043485, 0.12610958377500459, 0.13388004972699483]",,,,,
sub-02,V1,V3A,train,sub-08,linear_predictivity,435,226,0.06148502437506396,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14841537233563484,1.0668283157915857,0.8513799577464646,0.9349356333328116
sub-02,V1,V3A,test,sub-08,linear_predictivity,435,226,0.12783397258746515,"[0.1171279331860612, 0.1305231268332655, 0.13162578519931986, 0.1278622900156881, 0.13203072770299118]",,,,,
sub-02,V1,V3B,train,sub-08,linear_predictivity,435,147,0.0481341250344179,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13525228132141948,1.0732916144420943,0.8645831590836721,0.9491422250985199
sub-02,V1,V3B,test,sub-08,linear_predictivity,435,147,0.0923821815876003,"[0.08247772878591303, 0.09450975212931415, 0.09161574675677198, 0.09346433373319439, 0.09984334653280792]",,,,,
sub-02,V1,V6,train,sub-08,linear_predictivity,435,105,0.014130801030807482,,"[10000.0, 3162.277660168379, 3162.277660168379, 3162.277660168379, 10000.0]",0.08675348246376823,1.1067881351818172,0.9131207366515971,0.9823223931321667
sub-02,V1,V6,test,sub-08,linear_predictivity,435,105,0.00818862018900159,"[0.009962200413102246, 0.007285387580117715, 0.004572069227941236, 0.007025627683467806, 0.012097816040378948]",,,,,
sub-02,V1,V6A,train,sub-08,linear_predictivity,435,84,0.0322043415475715,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.12297394953540397,1.088940891224032,0.8767321961910295,0.9628825753759971
