model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list
all-other-subjects,V1,V1,train,sub-09,linear_predictivity,466,641,0.14985526887985598,
all-other-subjects,V1,V1,test,sub-09,linear_predictivity,466,641,0.27136642831962554,"[0.27079597321825133, 0.26334782507542387, 0.2747995385964046, 0.2759366604157252, 0.2719521442923228]"
all-other-subjects,V1,V2,train,sub-09,linear_predictivity,466,754,0.1400599258405687,
all-other-subjects,V1,V2,test,sub-09,linear_predictivity,466,754,0.20498547992701752,"[0.20436964548412936, 0.19296294806554148, 0.21269004341627742, 0.21780865563029086, 0.19709610703884844]"
all-other-subjects,V1,V3,train,sub-09,linear_predictivity,466,575,0.14354560881936548,
all-other-subjects,V1,V3,test,sub-09,linear_predictivity,466,575,0.22707221550234094,"[0.22006315187436962, 0.21918601468785945, 0.23556461461861916, 0.23723691096617283, 0.2233103853646835]"
all-other-subjects,V1,V4,train,sub-09,linear_predictivity,466,616,0.13185177344898033,
all-other-subjects,V1,V4,test,sub-09,linear_predictivity,466,616,0.2541633326258015,"[0.2487894391209047, 0.2564591520054356, 0.2569122476571031, 0.2561381559890532, 0.25251766835651096]"
all-other-subjects,V1,V3A,train,sub-09,linear_predictivity,466,270,0.0470517339287223,
all-other-subjects,V1,V3A,test,sub-09,linear_predictivity,466,270,0.07272867949576838,"[0.056710176313581634, 0.06346004223070333, 0.08036820605112605, 0.0777641670087957, 0.08534080587463524]"
all-other-subjects,V1,V3B,train,sub-09,linear_predictivity,466,148,0.07590861781945386,
all-other-subjects,V1,V3B,test,sub-09,linear_predictivity,466,148,0.180779389991148,"[0.18369571733209208, 0.1894874966014915, 0.169750253817873, 0.1758183649254029, 0.18514511727888067]"
all-other-subjects,V1,V6,train,sub-09,linear_predictivity,466,104,0.011339242745905144,
all-other-subjects,V1,V6,test,sub-09,linear_predictivity,466,104,0.005487555202384168,"[-0.0036084067506199197, 0.0034685800717407255, 0.00526772313073772, 0.006399156832854546, 0.01591072272720777]"
all-other-subjects,V1,V6A,train,sub-09,linear_predictivity,466,85,0.03947327430904735,
all-other-subjects,V1,V6A,test,sub-09,linear_predictivity,466,85,0.09263935291150391,"[0.09287229541543394, 0.10680025324842778, 0.06884681851906888, 0.08453189026348788, 0.1101455071111011]"
all-other-subjects,V1,V7,train,sub-09,linear_predictivity,466,87,0.07709145731611601,
all-other-subjects,V1,V7,test,sub-09,linear_predictivity,466,87,0.147073695761687,"[0.15308833109192696, 0.15493081358671834, 0.12909292437919911, 0.14364732569636113, 0.15460908405422938]"
all-other-subjects,V1,V8,train,sub-09,linear_predictivity,466,101,0.06510778542627792,
all-other-subjects,V1,V8,test,sub-09,linear_predictivity,466,101,0.1361223771622883,"[0.13434459483705002, 0.13695676900667322, 0.14496302267358263, 0.13155324150679001, 0.13279425778734566]"
all-other-subjects,V1,FFC,train,sub-09,linear_predictivity,466,263,0.06277065779552779,
all-other-subjects,V1,FFC,test,sub-09,linear_predictivity,466,263,0.12970251662761406,"[0.12660074245541145, 0.1235029169964667, 0.13611759445990343, 0.12025643175809399, 0.14203489746819473]"
all-other-subjects,V1,PIT,train,sub-09,linear_predictivity,466,123,0.09762715466826716,
all-other-subjects,V1,PIT,test,sub-09,linear_predictivity,466,123,0.2065138270938883,"[0.20303594411088471, 0.2045486689039029, 0.2121462864367379, 0.19484372729658597, 0.21799450872132994]"
all-other-subjects,V1,IPS1,train,sub-09,linear_predictivity,466,243,0.027362348394070046,
all-other-subjects,V1,IPS1,test,sub-09,linear_predictivity,466,243,0.07770033790219905,"[0.03735615227770058, 0.09758761514095551, 0.0871493536122978, 0.07447445586018148, 0.09193411261985984]"
all-other-subjects,V1,MST,train,sub-09,linear_predictivity,466,149,0.08554197640067542,
all-other-subjects,V1,MST,test,sub-09,linear_predictivity,466,149,0.1496665217715748,"[0.13894713053625032, 0.1620005460218539, 0.13945529816231167, 0.14442393213652632, 0.16350570200093176]"
all-other-subjects,V1,MT,train,sub-09,linear_predictivity,466,100,0.09411566626243091,
all-other-subjects,V1,MT,test,sub-09,linear_predictivity,466,100,0.1613154217072659,"[0.15695739348798923, 0.15724326844665718, 0.15303316380195262, 0.1594782683779188, 0.17986501442181166]"
all-other-subjects,V1,FST,train,sub-09,linear_predictivity,466,156,0.03989053296280637,
all-other-subjects,V1,FST,test,sub-09,linear_predictivity,466,156,0.09706045021706466,"[0.08820315959847623, 0.10769463502387992, 0.09338912190339603, 0.08602500783424455, 0.10999032672532663]"
all-other-subjects,V1,LO1,train,sub-09,linear_predictivity,466,79,0.08080913771414765,
all-other-subjects,V1,LO1,test,sub-09,linear_predictivity,466,79,0.1393597359205939,"[0.11306571491384891, 0.14375179075149996, 0.14895348609004228, 0.1477181159699677, 0.14330957187761062]"
all-other-subjects,V1,LO2,train,sub-09,linear_predictivity,466,80,0.07940714009449348,
all-other-subjects,V1,LO2,test,sub-09,linear_predictivity,466,80,0.15177723356407685,"[0.1411430438571586, 0.15647235570774504, 0.15472974643356352, 0.14667666370247928, 0.15986435811943772]"
all-other-subjects,V1,LO3,train,sub-09,linear_predictivity,466,125,0.05645960255023464,
all-other-subjects,V1,LO3,test,sub-09,linear_predictivity,466,125,0.10166729502638347,"[0.10814793661664684, 0.08441499061584448, 0.10469178151808808, 0.08303690653330295, 0.12804485984803504]"
all-other-subjects,V2,V1,train,sub-09,linear_predictivity,496,641,0.12486573325485263,
all-other-subjects,V2,V1,test,sub-09,linear_predictivity,496,641,0.26079081685223066,"[0.26094907966476566, 0.25523372395805183, 0.2661738715700497, 0.26372577606226133, 0.25787163300602467]"
all-other-subjects,V2,V2,train,sub-09,linear_predictivity,496,754,0.14207704953608394,
all-other-subjects,V2,V2,test,sub-09,linear_predictivity,496,754,0.25351605780178293,"[0.24324828336495435, 0.25397694716066976, 0.2634242709963632, 0.2628438948505388, 0.2440868926363885]"
all-other-subjects,V2,V3,train,sub-09,linear_predictivity,496,575,0.15184647571530976,
all-other-subjects,V2,V3,test,sub-09,linear_predictivity,496,575,0.2804487468650128,"[0.26991619692643143, 0.2769676501718164, 0.28914162615632466, 0.2893409069586856, 0.27687735411180586]"
all-other-subjects,V2,V4,train,sub-09,linear_predictivity,496,616,0.15192155503564816,
all-other-subjects,V2,V4,test,sub-09,linear_predictivity,496,616,0.31374335533727776,"[0.3098350176967263, 0.3143796244422949, 0.3122056368864954, 0.31693866360750894, 0.31535783405336326]"
all-other-subjects,V2,V3A,train,sub-09,linear_predictivity,496,270,0.07523195191001082,
all-other-subjects,V2,V3A,test,sub-09,linear_predictivity,496,270,0.13814875443704155,"[0.12034886641230258, 0.13922428139042725, 0.14046741528196832, 0.13899558239472384, 0.15170762670578572]"
all-other-subjects,V2,V3B,train,sub-09,linear_predictivity,496,148,0.12298504668550089,
all-other-subjects,V2,V3B,test,sub-09,linear_predictivity,496,148,0.25574586124574594,"[0.24827150047694516, 0.2695748247209604, 0.2453274049098259, 0.24294454522334294, 0.2726110308976553]"
all-other-subjects,V2,V6,train,sub-09,linear_predictivity,496,104,0.03851980169501157,
all-other-subjects,V2,V6,test,sub-09,linear_predictivity,496,104,0.028757941156051993,"[0.016288057376592262, 0.023579213565176838, 0.030920282833222738, 0.029674539162463574, 0.04332761284280454]"
all-other-subjects,V2,V6A,train,sub-09,linear_predictivity,496,85,0.06469575573078057,
all-other-subjects,V2,V6A,test,sub-09,linear_predictivity,496,85,0.12331032018721584,"[0.11789193249119109, 0.13013458630601993, 0.11804874433770908, 0.11750666119290241, 0.1329696766082567]"
all-other-subjects,V2,V7,train,sub-09,linear_predictivity,496,87,0.1114298644699382,
all-other-subjects,V2,V7,test,sub-09,linear_predictivity,496,87,0.20101296614778302,"[0.19538713665529253, 0.21368974683436104, 0.15510869807891295, 0.2102747330796064, 0.23060451609074237]"
all-other-subjects,V2,V8,train,sub-09,linear_predictivity,496,101,0.0931684436320311,
all-other-subjects,V2,V8,test,sub-09,linear_predictivity,496,101,0.19098079831790968,"[0.19161899187233464, 0.1920323763604732, 0.19702744066884165, 0.1866135719232517, 0.18761161076464725]"
all-other-subjects,V2,FFC,train,sub-09,linear_predictivity,496,263,0.06882061330506921,
all-other-subjects,V2,FFC,test,sub-09,linear_predictivity,496,263,0.18643481865086206,"[0.18886838429299727, 0.17804152973698895, 0.1809152460273333, 0.18298871975953965, 0.20136021343745109]"
all-other-subjects,V2,PIT,train,sub-09,linear_predictivity,496,123,0.1149578393499905,
all-other-subjects,V2,PIT,test,sub-09,linear_predictivity,496,123,0.27409595474522397,"[0.2694289446253953, 0.271691558993866, 0.2611812787032176, 0.27651728800524744, 0.2916607033983935]"
all-other-subjects,V2,IPS1,train,sub-09,linear_predictivity,496,243,0.07510895995128172,
all-other-subjects,V2,IPS1,test,sub-09,linear_predictivity,496,243,0.14608389322444185,"[0.12985958285794102, 0.161327812465379, 0.13780485443255722, 0.139901210956481, 0.16152600540985101]"
all-other-subjects,V2,MST,train,sub-09,linear_predictivity,496,149,0.11716079482444153,
all-other-subjects,V2,MST,test,sub-09,linear_predictivity,496,149,0.18097100118322867,"[0.15546327254990247, 0.17797189953081274, 0.18390937371394953, 0.18443446025832894, 0.20307599986314986]"
all-other-subjects,V2,MT,train,sub-09,linear_predictivity,496,100,0.12834184188855663,
all-other-subjects,V2,MT,test,sub-09,linear_predictivity,496,100,0.2045987342231487,"[0.18673539630401606, 0.18504371075082876, 0.19853192979076792, 0.208068969577534, 0.2446136646925966]"
all-other-subjects,V2,FST,train,sub-09,linear_predictivity,496,156,0.06404254151111109,
all-other-subjects,V2,FST,test,sub-09,linear_predictivity,496,156,0.1522385721303071,"[0.13556437444671696, 0.1586922585028209, 0.15970128043166396, 0.15251889365812904, 0.15471605361220453]"
all-other-subjects,V2,LO1,train,sub-09,linear_predictivity,496,79,0.11080140212169742,
all-other-subjects,V2,LO1,test,sub-09,linear_predictivity,496,79,0.23053563793128684,"[0.20675547498531557, 0.2293874858847795, 0.22471826623576147, 0.24158145638383607, 0.2502355061667417]"
all-other-subjects,V2,LO2,train,sub-09,linear_predictivity,496,80,0.09290589146985609,
all-other-subjects,V2,LO2,test,sub-09,linear_predictivity,496,80,0.22683302419673113,"[0.21884732378406985, 0.22642406461206993, 0.21333006581266295, 0.2317590829970539, 0.24380458377779896]"
all-other-subjects,V2,LO3,train,sub-09,linear_predictivity,496,125,0.1008263536456387,
all-other-subjects,V2,LO3,test,sub-09,linear_predictivity,496,125,0.18943981959165018,"[0.18057822537668733, 0.18593761208757673, 0.17548105870364325, 0.19409935304258577, 0.2111028487477579]"
all-other-subjects,V3,V1,train,sub-09,linear_predictivity,463,641,0.11521957520840868,
all-other-subjects,V3,V1,test,sub-09,linear_predictivity,463,641,0.24439512664045182,"[0.2502214443510799, 0.23604652015710254, 0.2436646030309453, 0.24887616000722845, 0.24316690565590288]"
all-other-subjects,V3,V2,train,sub-09,linear_predictivity,463,754,0.14085744665629346,
