model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list
all-other-subjects,V1,V1,train,sub-10,linear_predictivity,479,553,0.21062111271718562,
all-other-subjects,V1,V1,test,sub-10,linear_predictivity,479,553,0.3360846735663766,"[0.3291647333140071, 0.339823288656973, 0.33481790418072604, 0.3420566903310505, 0.3345607513491267]"
all-other-subjects,V1,V2,train,sub-10,linear_predictivity,479,516,0.19594659944692386,
all-other-subjects,V1,V2,test,sub-10,linear_predictivity,479,516,0.31555769264793915,"[0.30490230336976953, 0.3188304805846015, 0.3165129292524425, 0.32372414673633526, 0.3138186032965468]"
all-other-subjects,V1,V3,train,sub-10,linear_predictivity,479,400,0.2162232509355013,
all-other-subjects,V1,V3,test,sub-10,linear_predictivity,479,400,0.3482887148766611,"[0.3450533785212794, 0.35179732970876215, 0.3471620025555594, 0.3516771528160254, 0.3457537107816791]"
all-other-subjects,V1,V4,train,sub-10,linear_predictivity,479,574,0.14836994372710105,
all-other-subjects,V1,V4,test,sub-10,linear_predictivity,479,574,0.26409890270472025,"[0.2653807960935324, 0.2643705574033537, 0.26443832897809644, 0.26381789719868115, 0.26248693384993754]"
all-other-subjects,V1,V3A,train,sub-10,linear_predictivity,479,85,0.08105277506188122,
all-other-subjects,V1,V3A,test,sub-10,linear_predictivity,479,85,0.22943449593109766,"[0.22536019462601678, 0.23493000143017018, 0.22288197629640336, 0.23358550263848188, 0.23041480466441616]"
all-other-subjects,V1,V3B,train,sub-10,linear_predictivity,479,99,0.0874687960952759,
all-other-subjects,V1,V3B,test,sub-10,linear_predictivity,479,99,0.18617748140855672,"[0.1770558378736589, 0.19086012969296637, 0.18842416745598073, 0.18451743937611353, 0.19002983264406406]"
all-other-subjects,V1,V6,train,sub-10,linear_predictivity,479,11,0.054046196650692206,
all-other-subjects,V1,V6,test,sub-10,linear_predictivity,479,11,0.14945919288834925,"[0.15411772241454225, 0.1617799472263553, 0.1324484721315766, 0.15788021223460091, 0.14106961043467123]"
all-other-subjects,V1,V6A,train,sub-10,linear_predictivity,479,45,0.03001993490077667,
all-other-subjects,V1,V6A,test,sub-10,linear_predictivity,479,45,0.1340716327160411,"[0.1258211856375797, 0.17786998992515832, 0.11892612867608708, 0.12434626529788805, 0.12339459404349234]"
all-other-subjects,V1,V7,train,sub-10,linear_predictivity,479,61,0.06347480224543571,
all-other-subjects,V1,V7,test,sub-10,linear_predictivity,479,61,0.1284720356301668,"[0.12090147031307698, 0.12962175629238368, 0.13506965209141933, 0.12027512275351236, 0.13649217670044161]"
all-other-subjects,V1,V8,train,sub-10,linear_predictivity,479,96,0.10006387928387284,
all-other-subjects,V1,V8,test,sub-10,linear_predictivity,479,96,0.21334645239329525,"[0.22047202783164696, 0.21441785283041917, 0.21824428503500803, 0.20901082006054986, 0.20458727620885223]"
all-other-subjects,V1,FFC,train,sub-10,linear_predictivity,479,244,0.04820806638383327,
all-other-subjects,V1,FFC,test,sub-10,linear_predictivity,479,244,0.0631793267870272,"[0.06231089763837632, 0.05740915772772448, 0.06764660627940947, 0.06223316762876194, 0.06629680466086377]"
all-other-subjects,V1,PIT,train,sub-10,linear_predictivity,479,100,0.07773488787376004,
all-other-subjects,V1,PIT,test,sub-10,linear_predictivity,479,100,0.1405005500513992,"[0.15680133703906718, 0.14448964628856006, 0.12017195791906503, 0.157769245990396, 0.12327056301990769]"
all-other-subjects,V1,IPS1,train,sub-10,linear_predictivity,479,166,0.024897279280932553,
all-other-subjects,V1,IPS1,test,sub-10,linear_predictivity,479,166,0.05813178896646389,"[0.06043678347191498, 0.04834460257718718, 0.06082610870710905, 0.05850894066630801, 0.06254250940980025]"
all-other-subjects,V1,MST,train,sub-10,linear_predictivity,479,135,0.1254753168188855,
all-other-subjects,V1,MST,test,sub-10,linear_predictivity,479,135,0.2216700434645001,"[0.21246937255450896, 0.22316453806565675, 0.22208237171074438, 0.22034753662784495, 0.23028639836374523]"
all-other-subjects,V1,MT,train,sub-10,linear_predictivity,479,86,0.1034422945533559,
all-other-subjects,V1,MT,test,sub-10,linear_predictivity,479,86,0.15620643331489695,"[0.14853958244924018, 0.1568773532827758, 0.1463566222579141, 0.1617923897272064, 0.16746621885734822]"
all-other-subjects,V1,FST,train,sub-10,linear_predictivity,479,167,0.0837838202286268,
all-other-subjects,V1,FST,test,sub-10,linear_predictivity,479,167,0.14927189878391806,"[0.13428858917042472, 0.13746856787968198, 0.16304061841054984, 0.15162942327685106, 0.15993229518208266]"
all-other-subjects,V1,LO1,train,sub-10,linear_predictivity,479,78,0.09592542391697341,
all-other-subjects,V1,LO1,test,sub-10,linear_predictivity,479,78,0.18013581307774984,"[0.189285392374519, 0.16361904932517313, 0.18474244581371146, 0.1761039030707289, 0.18692827480461674]"
all-other-subjects,V1,LO2,train,sub-10,linear_predictivity,479,80,0.06977088365357734,
all-other-subjects,V1,LO2,test,sub-10,linear_predictivity,479,80,0.1554733940339897,"[0.15756808613229015, 0.14560662310867142, 0.15688637794150972, 0.15326401997330313, 0.16404186301417398]"
all-other-subjects,V1,LO3,train,sub-10,linear_predictivity,479,113,0.06340670045415138,
all-other-subjects,V1,LO3,test,sub-10,linear_predictivity,479,113,0.09687641608360269,"[0.10200435978716743, 0.07822471973436089, 0.1052030370732255, 0.08916151228649612, 0.10978845153676355]"
all-other-subjects,V2,V1,train,sub-10,linear_predictivity,567,553,0.18193943996495363,
all-other-subjects,V2,V1,test,sub-10,linear_predictivity,567,553,0.30667879509068907,"[0.30560492661817923, 0.3002498988131737, 0.30547977252119946, 0.3080724570635296, 0.3139869204373634]"
all-other-subjects,V2,V2,train,sub-10,linear_predictivity,567,516,0.19832045840968401,
all-other-subjects,V2,V2,test,sub-10,linear_predictivity,567,516,0.31110856321140395,"[0.30581938127175085, 0.30365162315605193, 0.3125729655278962, 0.3159323760315802, 0.31756647006974054]"
all-other-subjects,V2,V3,train,sub-10,linear_predictivity,567,400,0.22781884471435676,
