model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list
all-other-subjects,V1,V1,train,sub-04,linear_predictivity,484,523,0.23739810582707643,
all-other-subjects,V1,V1,test,sub-04,linear_predictivity,484,523,0.3600892116749047,"[0.3529011982178277, 0.3665382352241051, 0.35400523102919523, 0.3586454730636966, 0.36835592083969876]"
all-other-subjects,V1,V2,train,sub-04,linear_predictivity,484,638,0.19274709365583634,
all-other-subjects,V1,V2,test,sub-04,linear_predictivity,484,638,0.29077840409984496,"[0.2905583251808542, 0.28938177178090363, 0.2946222587525021, 0.29099038236860114, 0.28833928241636386]"
all-other-subjects,V1,V3,train,sub-04,linear_predictivity,484,520,0.2326306102042708,
all-other-subjects,V1,V3,test,sub-04,linear_predictivity,484,520,0.36126332061849414,"[0.354348575914154, 0.3602466747310397, 0.36562538625497254, 0.35993475121972385, 0.36616121497258086]"
all-other-subjects,V1,V4,train,sub-04,linear_predictivity,484,610,0.23117495310624891,
all-other-subjects,V1,V4,test,sub-04,linear_predictivity,484,610,0.369263920882135,"[0.3689014247724544, 0.37492491261594457, 0.36563423130898376, 0.3633445202849723, 0.37351451542832]"
all-other-subjects,V1,V3A,train,sub-04,linear_predictivity,484,232,0.08573244864689934,
all-other-subjects,V1,V3A,test,sub-04,linear_predictivity,484,232,0.14421309416659508,"[0.139328350411951, 0.14208503649300325, 0.14100493124706237, 0.15222681626130977, 0.14642033641964916]"
all-other-subjects,V1,V3B,train,sub-04,linear_predictivity,484,150,0.09947035374289326,
all-other-subjects,V1,V3B,test,sub-04,linear_predictivity,484,150,0.19068315620448334,"[0.20192837092670118, 0.19776895534809658, 0.17016959237492826, 0.17864287652291783, 0.20490598584977293]"
all-other-subjects,V1,V6,train,sub-04,linear_predictivity,484,58,0.01031728604144524,
all-other-subjects,V1,V6,test,sub-04,linear_predictivity,484,58,0.0032513482457000335,"[0.0036087774979275972, -0.0005732803707101558, 0.01660719073948228, -0.00553029271494963, 0.0021443460767500795]"
all-other-subjects,V1,V6A,train,sub-04,linear_predictivity,484,38,0.03558271041505465,
all-other-subjects,V1,V6A,test,sub-04,linear_predictivity,484,38,0.0679312886930932,"[0.06951191185156286, 0.07206538045016045, 0.0686952033095064, 0.06539692077067832, 0.063987027083558]"
all-other-subjects,V1,V7,train,sub-04,linear_predictivity,484,77,0.07306971240210978,
all-other-subjects,V1,V7,test,sub-04,linear_predictivity,484,77,0.1260664486056502,"[0.12013483573858248, 0.1269772641291209, 0.1224220751536686, 0.12550732963329114, 0.1352907383735878]"
all-other-subjects,V1,V8,train,sub-04,linear_predictivity,484,111,0.1355845477570342,
all-other-subjects,V1,V8,test,sub-04,linear_predictivity,484,111,0.21002418488891075,"[0.21618028069552145, 0.21764312497263688, 0.20554049777200503, 0.19627424585463737, 0.21448277514975295]"
all-other-subjects,V1,FFC,train,sub-04,linear_predictivity,484,312,0.09510249242256716,
all-other-subjects,V1,FFC,test,sub-04,linear_predictivity,484,312,0.14114506350152298,"[0.13882877886456627, 0.1293514610454782, 0.1462898519708548, 0.13114080702984734, 0.16011441859686826]"
all-other-subjects,V1,PIT,train,sub-04,linear_predictivity,484,118,0.09665252101801974,
all-other-subjects,V1,PIT,test,sub-04,linear_predictivity,484,118,0.18313458794495677,"[0.1882841427436169, 0.17606180746449973, 0.17802658725064677, 0.17248723053306858, 0.20081317173295174]"
all-other-subjects,V1,IPS1,train,sub-04,linear_predictivity,484,232,0.06897962668688504,
all-other-subjects,V1,IPS1,test,sub-04,linear_predictivity,484,232,0.18418660056168085,"[0.1956274609790485, 0.1814817686528851, 0.17598510549636526, 0.17273000610357273, 0.19510866157653273]"
all-other-subjects,V1,MST,train,sub-04,linear_predictivity,484,142,0.14739496227210777,
all-other-subjects,V1,MST,test,sub-04,linear_predictivity,484,142,0.20560940277433795,"[0.20143033396761756, 0.20736266968913555, 0.2037159809320501, 0.20317023127125408, 0.21236779801163247]"
all-other-subjects,V1,MT,train,sub-04,linear_predictivity,484,100,0.17457769933252798,
all-other-subjects,V1,MT,test,sub-04,linear_predictivity,484,100,0.2357472227543555,"[0.22245820207730901, 0.2421927032668673, 0.23285225510984658, 0.23355460808914294, 0.2476783452286117]"
all-other-subjects,V1,FST,train,sub-04,linear_predictivity,484,175,0.11755273837315647,
all-other-subjects,V1,FST,test,sub-04,linear_predictivity,484,175,0.23786499269661804,"[0.23565608205129845, 0.24708610597151204, 0.23390978924919367, 0.22828025476417954, 0.24439273144690665]"
all-other-subjects,V1,LO1,train,sub-04,linear_predictivity,484,80,0.20485479805725812,
all-other-subjects,V1,LO1,test,sub-04,linear_predictivity,484,80,0.27918861689616553,"[0.2771324567162171, 0.2705906609360484, 0.2793018528805119, 0.27727565780962327, 0.29164245613842704]"
all-other-subjects,V1,LO2,train,sub-04,linear_predictivity,484,83,0.14032478153699418,
all-other-subjects,V1,LO2,test,sub-04,linear_predictivity,484,83,0.23879506751114582,"[0.23692459074316183, 0.23576268267975042, 0.23275583680521908, 0.23786296403232463, 0.2506692632952733]"
all-other-subjects,V1,LO3,train,sub-04,linear_predictivity,484,118,0.12066055284389907,
all-other-subjects,V1,LO3,test,sub-04,linear_predictivity,484,118,0.12185139473125153,"[0.11427396758601069, 0.11467041750801305, 0.11913175222554225, 0.12059905690896612, 0.14058177942772554]"
all-other-subjects,V2,V1,train,sub-04,linear_predictivity,540,523,0.2229790950147409,
all-other-subjects,V2,V1,test,sub-04,linear_predictivity,540,523,0.3168948092484783,"[0.30392747200637166, 0.32323143381985825, 0.31336147578604234, 0.3172332273337157, 0.3267204372964033]"
all-other-subjects,V2,V2,train,sub-04,linear_predictivity,540,638,0.20973722282941296,
all-other-subjects,V2,V2,test,sub-04,linear_predictivity,540,638,0.3024515146899081,"[0.29633565075871904, 0.30457206556713423, 0.31185854191066, 0.2962455274348056, 0.3032457877782215]"
all-other-subjects,V2,V3,train,sub-04,linear_predictivity,540,520,0.25608951953908243,
all-other-subjects,V2,V3,test,sub-04,linear_predictivity,540,520,0.3904406798070323,"[0.3795863855161446, 0.3923142478821904, 0.4013003641523022, 0.385672687416385, 0.3933297140681394]"
all-other-subjects,V2,V4,train,sub-04,linear_predictivity,540,610,0.2668365327700317,
all-other-subjects,V2,V4,test,sub-04,linear_predictivity,540,610,0.4212549337114936,"[0.41900359769081635, 0.42213569494295217, 0.42336567194243785, 0.4171952873497134, 0.4245744166315484]"
all-other-subjects,V2,V3A,train,sub-04,linear_predictivity,540,232,0.12668663539312336,
all-other-subjects,V2,V3A,test,sub-04,linear_predictivity,540,232,0.16089261724237972,"[0.15878845501702227, 0.15613441885421944, 0.17058937588884968, 0.15635497478388505, 0.16259586166792203]"
all-other-subjects,V2,V3B,train,sub-04,linear_predictivity,540,150,0.14741789225370472,
all-other-subjects,V2,V3B,test,sub-04,linear_predictivity,540,150,0.26337118251738384,"[0.26797332060858914, 0.26388548503370735, 0.26335082405814125, 0.2572440594326632, 0.2644022234538184]"
all-other-subjects,V2,V6,train,sub-04,linear_predictivity,540,58,0.025338880116159066,
all-other-subjects,V2,V6,test,sub-04,linear_predictivity,540,58,0.03493402434424593,"[0.03394672929886623, 0.03538963706656341, 0.04477164519290706, 0.02300028946381428, 0.0375618206990787]"
all-other-subjects,V2,V6A,train,sub-04,linear_predictivity,540,38,0.05613194956629374,
all-other-subjects,V2,V6A,test,sub-04,linear_predictivity,540,38,0.0961244721485002,"[0.09334977744378, 0.09468192976340899, 0.0953352940298915, 0.0979708299761824, 0.09928452952923818]"
all-other-subjects,V2,V7,train,sub-04,linear_predictivity,540,77,0.08651518245296172,
all-other-subjects,V2,V7,test,sub-04,linear_predictivity,540,77,0.14787593427866508,"[0.13844206815388638, 0.14912086556360205, 0.1540980444323159, 0.14615134253054998, 0.1515673507129711]"
all-other-subjects,V2,V8,train,sub-04,linear_predictivity,540,111,0.16473155682413226,
all-other-subjects,V2,V8,test,sub-04,linear_predictivity,540,111,0.2528590551813902,"[0.25281524241002096, 0.25625585451044264, 0.2505310617086507, 0.25088889634388445, 0.2538042209339523]"
all-other-subjects,V2,FFC,train,sub-04,linear_predictivity,540,312,0.112465237759024,
all-other-subjects,V2,FFC,test,sub-04,linear_predictivity,540,312,0.18676263406238455,"[0.1838566836728392, 0.16894044836955732, 0.20207453772630074, 0.17695214396047038, 0.20198935658275502]"
all-other-subjects,V2,PIT,train,sub-04,linear_predictivity,540,118,0.10022277221119333,
all-other-subjects,V2,PIT,test,sub-04,linear_predictivity,540,118,0.22018584901479024,"[0.22530857148719413, 0.2097075438362129, 0.23780838959796352, 0.18128505891314353, 0.24681968123943712]"
all-other-subjects,V2,IPS1,train,sub-04,linear_predictivity,540,232,0.09655083700554169,
all-other-subjects,V2,IPS1,test,sub-04,linear_predictivity,540,232,0.23505394657205092,"[0.2453391026620434, 0.22901589553948587, 0.23293439006955116, 0.22533080899726857, 0.24264953559190555]"
all-other-subjects,V2,MST,train,sub-04,linear_predictivity,540,142,0.16647699254658857,
all-other-subjects,V2,MST,test,sub-04,linear_predictivity,540,142,0.2598252222213538,"[0.2542693080729774, 0.25636713550892387, 0.26106024599946664, 0.25827596864537106, 0.26915345288002995]"
all-other-subjects,V2,MT,train,sub-04,linear_predictivity,540,100,0.2205365453511009,
all-other-subjects,V2,MT,test,sub-04,linear_predictivity,540,100,0.3151269693316417,"[0.31107721469285166, 0.31065919690699323, 0.3183135545094652, 0.310327097873988, 0.3252577826749104]"
all-other-subjects,V2,FST,train,sub-04,linear_predictivity,540,175,0.14221232252927887,
all-other-subjects,V2,FST,test,sub-04,linear_predictivity,540,175,0.28727605910449705,"[0.28361769612801546, 0.28471410661374924, 0.28980493295945786, 0.28676061883784676, 0.2914829409834158]"
all-other-subjects,V2,LO1,train,sub-04,linear_predictivity,540,80,0.2403933595891353,
all-other-subjects,V2,LO1,test,sub-04,linear_predictivity,540,80,0.3882311856035194,"[0.37820077964699367, 0.370730246061422, 0.3996719254344631, 0.3844550546766078, 0.4080979221981103]"
all-other-subjects,V2,LO2,train,sub-04,linear_predictivity,540,83,0.16831197957045124,
all-other-subjects,V2,LO2,test,sub-04,linear_predictivity,540,83,0.289265730898547,"[0.28742272992263357, 0.2759708239281284, 0.2983805066813987, 0.2788937512006951, 0.3056608427598795]"
all-other-subjects,V2,LO3,train,sub-04,linear_predictivity,540,118,0.15113741146215062,
all-other-subjects,V2,LO3,test,sub-04,linear_predictivity,540,118,0.17804360205883327,"[0.17642196279746075, 0.16196150410264468, 0.18944071105588559, 0.17332025065022408, 0.18907358168795127]"
all-other-subjects,V3,V1,train,sub-04,linear_predictivity,492,523,0.21066342014771017,
all-other-subjects,V3,V1,test,sub-04,linear_predictivity,492,523,0.3088589010543549,"[0.30157564536290643, 0.31209491607958517, 0.30187904611691574, 0.31270613781891526, 0.31603875989345204]"
all-other-subjects,V3,V2,train,sub-04,linear_predictivity,492,638,0.20026795845774062,
all-other-subjects,V3,V2,test,sub-04,linear_predictivity,492,638,0.2907864113579718,"[0.2868702246265762, 0.29085854065588884, 0.2968403838856872, 0.289360628395288, 0.2900022792264187]"
all-other-subjects,V3,V3,train,sub-04,linear_predictivity,492,520,0.26317498280963275,
all-other-subjects,V3,V3,test,sub-04,linear_predictivity,492,520,0.39652510473994107,"[0.3917105862374272, 0.3983507090129345, 0.4013862040064762, 0.39471605012482947, 0.3964619743180383]"
all-other-subjects,V3,V4,train,sub-04,linear_predictivity,492,610,0.3048908120563078,
all-other-subjects,V3,V4,test,sub-04,linear_predictivity,492,610,0.48111312988400384,"[0.4812325655812081, 0.4834278473418095, 0.47848171121671595, 0.47694307560574706, 0.48548044967453857]"
all-other-subjects,V3,V3A,train,sub-04,linear_predictivity,492,232,0.13807119945990892,
